Lead_001,Anna,1970-01-05,true,09029332,anna@gmail.com,702 Nguyen Van Linh
Lead_002,Khoi,1996-10-21,false,0775329139,asdf123@gmail.com,703 Nguyen Van Linh
Lead_003,Kha,1999-11-23,false,0775329140,asdf132@gmail.com,704 Nguyen Van Linh
Lead_004,Khanh,1980-12-20,false,0775329141,asdf41@gmail.com,705 Nguyen Van Linh
Lead_005,Khong,1969-06-06,true,0775329142,asdf115@gmail.com,706 Nguyen Van Linh
Lead_006,Kho,1970-11-22,false,0775329143,asdf1456@gmail.com,707 Nguyen Van Linh
Lead_007,Khac,1950-01-01,false,0775329144,asdf1589@gmail.com,708 Nguyen Van Linh
Lead_008,Viet,1960-10-10,false,0775329145,asdf123456@gmail.com,709 Nguyen Van Linh
Lead_009,Van,2000-02-20,true,0775329146,asdf1237852@gmail.com,7010 Nguyen Van Linh
Lead_010,random,1995-05-19,false,0775111111,random@gmail.com,123 Nguyen Van Linh
